readingtime,readingvalue
2018-06-0222:20:00.000000+0000,0.604166667
2018-06-0222:25:00.000000+0000,0.704166667
2018-06-0222:30:00.000000+0000,0.670833333
2018-06-0222:35:00.000000+0000,0.6625
2018-06-0222:40:00.000000+0000,0.645833333
2018-06-0222:45:00.000000+0000,0.679166667
2018-06-0222:50:00.000000+0000,0.654166667
2018-06-0222:55:00.000000+0000,0.658333333
2018-06-0223:00:00.000000+0000,0.654372742
2018-06-0223:05:00.000000+0000,0.6
2018-06-0223:10:00.000000+0000,0.675
2018-06-0223:15:00.000000+0000,0.645833333
2018-06-0223:20:00.000000+0000,0.658333333
2018-06-0223:25:00.000000+0000,0.664275956
2018-06-0223:30:00.000000+0000,0.706779661
2018-06-0223:35:00.000000+0000,0.591666667
2018-06-0223:40:00.000000+0000,0.65
2018-06-0223:45:00.000000+0000,0.6625
2018-06-0223:50:00.000000+0000,0.679166667
2018-06-0223:55:00.000000+0000,0.645833333
2018-06-0300:00:00.000000+0000,0.675
2018-06-0300:05:00.000000+0000,0.629166667
2018-06-0300:10:00.000000+0000,0.670833333
2018-06-0300:15:00.000000+0000,0.670833333
2018-06-0300:20:00.000000+0000,0.6625
2018-06-0300:25:00.000000+0000,0.620833333
2018-06-0300:30:00.000000+0000,0.654166667
2018-06-0300:35:00.000000+0000,0.654166667
2018-06-0300:40:00.000000+0000,0.658333333
2018-06-0300:45:00.000000+0000,0.65
2018-06-0300:50:00.000000+0000,0.65
2018-06-0300:55:00.000000+0000,0.645971103
2018-06-0301:00:00.000000+0000,0.7
